Summary,Description
PDP || Product price displayed on the Product Detail Page does not match the price shown in the Cart.,"*Steps to Reproduce:*

# Launch the website.
# Navigate to the *Product Listing* page.
# Open the Product Detail Page of any product (e.g., *Diya Diamond Finger Ring*).
# Note the product price displayed on the Product Detail Page.
# Click *Add to Cart*.
# Navigate to the *Cart* page.
# Compare the product price displayed in the cart with the price shown on the Product Detail Page.

*Actual Result:*
The product price displayed on the *Product Detail Page* is different from the price displayed in the *Cart*.

*Expected Result:*
The product price displayed in the *Cart* should exactly match the price shown on the *Product Detail Page*, ensuring pricing consistency throughout the purchase journey."
PDP || Ring product can be added to the cart without selecting a Ring Size.,"*Steps to Reproduce:*

# Launch the website.
# Navigate to the Product Detail Page of any *Ring* product.
# Do not select a *Ring Size*.
# Click the *Add to Cart* button.
# Observe the application behavior.

*Actual Result:*
The ring product is successfully added to the cart even though no *Ring Size* has been selected.

*Expected Result:*
The user should not be able to add a ring product to the cart without selecting a *Ring Size*. A validation message (e.g., *""Please select a ring size.""*) should be displayed, and the product should only be added after a valid size is selected."
PDP || Gemstone Type is not displayed on the Product Detail Page (PDP).,"*Steps to Reproduce:*

# Launch the website.
# Navigate to the *Product Listing* page.
# Open the Product Detail Page of any product containing a gemstone.
# Observe the product specifications/details section.

*Actual Result:*
The *Gemstone Type* is not displayed on the Product Detail Page.

*Expected Result:*
The *Gemstone Type* should be displayed on the Product Detail Page as part of the product specifications, providing complete and accurate product information to the user."
"Cart || Adding the same product with a different size updates the quantity instead of creating a separate cart entry, resulting in incorrect size information.","*Steps to Reproduce:*

# Launch the website.
# Navigate to the Product Detail Page of a size-dependent product (e.g., a ring).
# Select *Size 2* and add the product to the cart.
# Navigate back to the same product.
# Select a different size (e.g., *Size 4*) and add it to the cart.
# Open the *Cart* page.
# Observe the cart details.

*Actual Result:*
Instead of creating a separate cart entry for the new size, the cart updates the quantity from *1 to 2*, and the newly selected size overlaps/replaces the previously selected size.

*Expected Result:*
Products with different selected sizes should be treated as separate cart items. Each cart entry should retain its respective size, and the quantity should only increase when the *same product with the same size* is added again."
Wishlist || Product image and price do not update when changing the Metal Color in the Add to Bag side panel opened from the Wishlist.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Wishlist*.
# Navigate to the *Wishlist* page.
# Click the *Add to Bag* button for any wishlist item.
# In the Product Detail side panel, select a different *Metal Color*.
# Observe the product image and price.
# Open the same product on its standard *Product Detail Page (PDP)*.
# Change the *Metal Color* and compare the behavior.

*Actual Result:*
In the *Add to Bag* side panel, changing the *Metal Color* does not update the product image or price. However, on the standard *Product Detail Page (PDP)*, both the product image and price update correctly after selecting a different metal color.

*Expected Result:*
Changing the *Metal Color* in the *Add to Bag* side panel should update the product image and price in the same way as the standard *Product Detail Page (PDP)*, ensuring consistent functionality across both interfaces."
CART || Engraving option is displayed in the Cart for products that do not support engraving.,"*Steps to Reproduce:*

# Launch the website.
# Open the Product Detail Page of a product that does *not* support *Engraving*.
# Click *Add to Bag*.
# Navigate to the *Cart* page.
# Observe the product options.

*Actual Result:*
The *Engraving* option is displayed in the *Cart* even though the selected product does not support engraving.

*Expected Result:*
The *Engraving* option should only be displayed for products that support engraving. For products that do not support engraving, the option should not be visible in the *Cart*."
BAG || Engraving text disappears after modifying and saving the engraving from the Cart.,"*Steps to Reproduce:*

# Launch the website.
# Open the Product Detail Page of a product that supports engraving (e.g., *Diya Diamond Finger Ring*).
# Enter engraving text and add the product to the bag.
# Navigate to the *Cart* page.
# Click *Modify* for the engraving.
# Update the engraving text and click *Save*.
# Observe the engraving details.

*Actual Result:*
After saving the modified engraving, the entered engraving text disappears instead of being displayed.

*Expected Result:*
After modifying and saving the engraving, the updated engraving text should be displayed correctly in the *Cart* and remain associated with the product."
BAG || Editing a product from the Cart and clicking Add to Bag increases the quantity instead of updating the existing cart item.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Navigate to the *Cart* page.
# Click the *Edit* option for the product.
# Make the required changes (if applicable).
# Click *Add to Bag*.
# Observe the cart.

*Actual Result:*
Instead of updating/replacing the existing cart item, the application increases the quantity of the same product.

*Expected Result:*
Clicking *Add to Bag* after editing a product should update the existing cart item with the latest changes, rather than increasing its quantity."
Cart || Wishlist CTA remains visible after moving a product to the Wishlist from the Cart instead of displaying a confirmation banner.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Navigate to the *Cart* page.
# Click the *Move to Wishlist* option for the product.
# Observe the UI after the product is moved.

*Actual Result:*
After moving the product to the *Wishlist*, the Wishlist CTA remains visible.

*Expected Result:*
After the product is successfully moved to the *Wishlist*, the CTA should be replaced with a confirmation banner/message indicating that the *product has been moved to the Wishlist*, providing clear feedback to the user."
Cart || Non-gift products are displayed in the Gifting Options page after selecting Personalise Gift.,"*Steps to Reproduce:*

# Launch the website.
# Add multiple products to the *Cart*.
# Mark any *two* products as *Gift*.
# Click *View Gifting Options*.
# Click *Personalise Gift*.
# Observe the list of products displayed in the *Gifting Options* page.

*Actual Result:*
All products in the cart, including those *not marked as Gift*, are displayed in the *Gifting Options* page.

*Expected Result:*
Only the products that have been explicitly marked as *Gift* should be displayed in the *Gifting Options* page. Products not marked as gifts should not appear in this section."
Price Detail || Shipping charges are not included in the Total Amount under the Price Details section.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Navigate to the *Cart* page.
# Go to the *Price Details* section.
# Compare the *Shipping Charges* and the *Total Amount*.
# Observe the calculation.

*Actual Result:*
The *Total Amount* does not include the applicable *Shipping Charges*, resulting in an incorrect total.

*Expected Result:*
The *Total Amount* should include all applicable charges, including the *Shipping Charges*, and accurately reflect the final payable amount.

[https://prnt.sc/lQWSf2Ze-if0|https://prnt.sc/lQWSf2Ze-if0|smart-link]"
Price Detail || Shipping charges are incorrectly updated to Free after adding a product eligible for free shipping to the Cart.,"*Steps to Reproduce:*

# Launch the website.
# Add a product that has *applicable shipping charges* to the *Cart*.
# Navigate to the *Cart* and verify the *Price Details*.
# Add another product that is eligible for *Free Shipping*.
# Return to the *Cart* and observe the *Shipping Charges* in the *Price Details* section.

*Actual Result:*
After adding a product with *Free Shipping*, the *Total Shipping Charges* become *Free* for the entire cart, including the product that should incur shipping charges.

*Expected Result:*
Shipping charges should be calculated correctly for each product based on its shipping policy. Adding a product with *Free Shipping* should not remove the shipping charges applicable to other products in the cart. The *Total Shipping Charges* should accurately reflect the combined shipping cost.



[https://www.image2url.com/r2/default/videos/1786020343725-69fcba17-14a4-4769-8e75-40d9437cf41f.mp4|https://www.image2url.com/r2/default/videos/1786020343725-69fcba17-14a4-4769-8e75-40d9437cf41f.mp4]"
Gifting option || Gift note is not displayed after being added through the Personalise Gift flow.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Mark the product as *Gift*.
# Click *View Gifting Options*.
# Click *Personalise Gift*.
# Enter a *Gift Note* and save it.
# Observe the gifting details in the cart and gifting flow.

*Actual Result:*
The gift note is successfully added, but it is not displayed anywhere in the UI after being saved.

*Expected Result:*
After saving the gift note, it should be displayed in the appropriate section (e.g., Cart, Gifting Options, or Order Summary) so that the user can verify the saved message before placing the order."
Cart || Individual Buy Now option is missing for products in the Cart.,"*Steps to Reproduce:*

# Launch the website.
# Add multiple products to the *Cart*.
# Navigate to the *Cart* page.
# Observe the available actions for each cart item.

*Actual Result:*
There is no option to purchase an individual product directly from the cart. Users can only proceed with the entire cart.

*Expected Result:*
Each product in the *Cart* should have an individual *Buy Now* option, allowing users to proceed to checkout for a single selected product without purchasing all items in the cart."
Checkout  || Unable to proceed with payment after adding a new address from the Checkout page.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to the *Checkout* page.
# Click *My Address*.
# Select *Add New Address*.
# Add a new address and click the *Back* button.
# Click the *Complete* button to proceed.
# Observe the application behavior.

*Actual Result:*
After adding a new address and returning to the *Checkout* page, clicking *Complete* results in an error, preventing the user from proceeding to the payment step.

*Expected Result:*
After successfully adding a new address, the *Complete* button should proceed to the payment step without any errors, allowing the user to complete the checkout process."
Check-out || Applying a Gift Card does not reduce the Total Amount on the Checkout page.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to the *Checkout* page.
# Apply a valid *Gift Card*.
# Observe the *Price Details* and *Total Amount*.

*Actual Result:*
The gift card is applied successfully, but the *Total Amount* remains unchanged and no deduction is reflected.

*Expected Result:*
After applying a valid *Gift Card*, the applicable gift card value should be deducted from the *Total Amount*, and the updated payable amount should be displayed correctly."
Checkout || No option is available to edit the selected Payment Method on the Checkout page.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to the *Checkout* page.
# Select a payment method.
# Observe the available options on the checkout page.

*Actual Result:*
There is no option to edit or change the selected *Payment Method* once it has been chosen.

*Expected Result:*
The *Checkout* page should provide an *Edit/Change Payment Method* option, allowing users to modify their selected payment method before completing the payment.

[https://prnt.sc/v_PZfCgniuVQ|https://prnt.sc/v_PZfCgniuVQ|smart-link] "
Checkout || OTP is not received when proceeding to payment as a Guest User.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to *Checkout* as a *Guest User*.
# Enter the required guest details and continue to the payment step.
# Wait for the OTP verification.
# Observe the application behavior.

*Actual Result:*
The OTP is not received, preventing the guest user from completing the payment process.

*Expected Result:*
An OTP should be sent successfully to the registered mobile number/email of the guest user, allowing them to verify their identity and proceed with the payment."
Complete Checkout || Email field incorrectly displays the country code (+91) in the Personal Information section during Guest Checkout.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to *Checkout*.
# Select *Continue as Guest*.
# Complete the required checkout details and navigate to the *Complete Checkout* page.
# In the *Personal Information* section, observe the *Email* field.

*Actual Result:*
The *Email* field is displayed with the mobile number country code prefix (*+91*), resulting in incorrect formatting.

*Expected Result:*
The *Email* field should display only the user's email address. The country code prefix (*+91*) should be displayed only with the *Mobile Number* field and should never appear in the *Email* field.



[https://prnt.sc/lhT4PqAwwEXl|https://prnt.sc/lhT4PqAwwEXl|smart-link]"
Payment Gateway || User is redirected to localhost:3000 with an error instead of the Payment Success page after a successful payment.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to the *Checkout* page.
# Complete the required checkout details.
# Make a successful payment using any available payment method.
# Observe the redirection after the payment is completed.

*Actual Result:*
After a successful payment, the user is redirected to *localhost:3000*, where an error message is displayed instead of the Payment Success page.

*Expected Result:*
After a successful payment, the user should be redirected to the *Payment Success/Order Confirmation* page, displaying the order details and payment confirmation without any errors.

[https://prnt.sc/-cpzvMEmC2M1|https://prnt.sc/-cpzvMEmC2M1|smart-link]"
Payment gateway || Selecting UPI as the payment method displays all payment options instead of redirecting to the UPI payment flow.,"*Steps to Reproduce:*

# Launch the website.
# Add any product to the *Cart*.
# Proceed to the *Checkout* page.
# Select *UPI* as the payment method.
# Click *Proceed/Pay Now*.
# Observe the payment screen.

*Actual Result:*
Instead of redirecting to the *UPI payment flow* or displaying only UPI-related options, the application displays *all available payment methods*.

*Expected Result:*
After selecting *UPI* and clicking *Proceed/Pay Now*, the user should be redirected to the *UPI payment flow* (or shown only UPI-specific payment options) without displaying unrelated payment methods."
Account || Guest Checkout allows an order to be placed using an email address that is already registered.,"*Steps to Reproduce:*

# Create a new user account using a valid email address.
# Log out of the application.
# Add any product to the *Cart*.
# Proceed to *Checkout* and select *Continue as Guest*.
# Enter the *same email address* that is already registered.
# Complete the checkout process and place the order.
# Observe the application behavior.

*Actual Result:*
The application allows the order to be placed successfully using an email address that is already associated with a registered account. No validation or error message is displayed.

*Expected Result:*
The application should validate the email address during *Guest Checkout*. If the entered email is already registered, it should display an appropriate message (e.g., *""This email is already registered. Please sign in to continue.""*) or prompt the user to log in instead of allowing the transaction to proceed as a guest."
"PDP || ""Find Your Size"" video is not playable in the responsive iOS view on the Product Detail Page (PDP).","*Steps to Reproduce:*

# Launch the website on an *iOS* device in a responsive view.
# Navigate to the *Product Detail Page (PDP)* of any size-dependent product.
# Click on the *""Find Your Size""* option.
# Attempt to play the instructional video.
# Observe the application behavior.

*Actual Result:*
The *""Find Your Size""* video does not play in the responsive *iOS* view.

*Expected Result:*
The *""Find Your Size""* video should play successfully on *iOS* devices in the responsive view, allowing users to view the sizing guide without any issues."
